,userId,movieId,rating
0,1,147,4.5
1,2,64,4.0
2,2,79,4.0
3,8,1,4.0
4,8,47,4.0
5,9,1,4.5
6,9,150,4.0
7,10,150,4.0
8,10,165,4.0
9,11,34,4.0
10,12,1,4.0
11,12,16,4.0
12,12,17,4.0
13,12,29,5.0
14,12,34,5.0
15,12,47,5.0
16,12,50,5.0
17,12,82,4.0
18,12,97,4.0
19,12,123,5.0
20,12,125,5.0
21,12,150,5.0
22,12,162,4.0
23,12,175,5.0
24,12,176,4.0
25,12,194,5.0
26,15,6,4.0
27,16,32,4.5
28,16,50,5.0
29,16,111,5.0
30,16,198,4.5
31,18,81,5.0
32,20,1,4.0
33,20,39,5.0
34,20,150,4.0
35,20,161,4.0
36,22,110,5.0
37,22,163,4.0
38,24,1,4.0
39,24,6,4.0
40,24,21,4.0
41,24,32,4.0
42,24,36,5.0
43,24,39,4.0
44,24,47,4.0
45,24,50,5.0
46,24,58,5.0
47,24,86,4.0
48,24,101,5.0
49,24,110,5.0
50,24,111,5.0
51,24,112,4.0
52,24,147,4.0
53,24,162,4.0
54,24,175,4.0
55,24,194,4.0
56,25,21,4.0
57,25,153,4.0
58,27,50,4.0
59,27,111,4.5
60,28,50,4.0
61,29,17,4.0
62,30,32,4.0
63,30,50,5.0
64,30,110,5.0
65,33,10,5.0
66,33,34,4.0
67,33,39,4.0
68,33,150,4.0
69,33,153,5.0
70,33,161,4.0
71,33,165,5.0
72,34,6,4.0
73,34,16,5.0
74,34,32,5.0
75,34,47,5.0
76,34,50,4.5
77,34,110,5.0
78,34,111,4.5
79,34,161,4.0
80,34,172,4.0
81,35,29,5.0
82,36,170,4.0
83,37,150,4.0
84,40,1,4.0
85,40,5,4.0
86,40,62,4.0
87,41,39,5.0
88,43,2,4.0
89,44,1,5.0
90,44,111,5.0
91,44,150,4.0
92,46,1,4.5
93,46,21,4.0
94,46,70,4.0
95,46,88,4.5
96,46,104,4.0
97,46,150,4.5
98,46,165,4.0
99,46,188,4.5
100,47,1,5.0
101,47,17,5.0
102,47,25,4.0
103,47,34,5.0
104,47,36,5.0
105,47,50,4.0
106,47,58,4.0
107,47,80,4.0
108,47,111,5.0
109,47,154,4.0
110,49,1,5.0
111,49,2,4.5
112,49,10,5.0
113,49,32,4.0
114,49,47,5.0
115,49,50,5.0
116,49,70,4.0
117,49,104,4.0
118,49,110,4.0
119,49,111,5.0
120,49,112,4.0
121,49,151,4.0
122,49,153,4.0
123,49,163,4.5
124,49,165,4.0
125,49,168,4.0
126,49,172,4.0
127,49,173,4.0
128,49,185,4.0
129,51,1,5.0
130,51,47,5.0
131,51,111,5.0
132,52,32,4.0
133,52,112,4.0
134,53,11,4.0
135,53,47,4.0
136,53,50,4.0
137,53,175,5.0
138,53,176,4.0
139,53,180,5.0
140,54,5,5.0
141,55,1,5.0
142,55,41,5.0
143,55,105,4.0
144,55,111,5.0
145,55,150,5.0
146,56,1,5.0
147,56,5,4.0
148,56,50,4.5
149,56,95,4.5
150,56,110,4.0
151,56,161,4.0
152,58,6,4.0
153,58,10,4.0
154,58,22,4.0
155,58,32,4.0
156,58,44,4.0
157,58,47,4.0
158,58,110,5.0
159,58,141,4.0
160,58,165,4.0
161,58,198,4.0
162,59,50,4.0
163,60,163,4.0
164,60,165,4.0
165,60,180,4.0
166,62,10,4.0
167,62,19,4.0
168,62,47,4.5
169,62,50,4.5
170,62,104,4.0
171,62,107,4.0
172,62,111,4.0
173,62,123,4.5
174,62,150,4.5
175,62,180,4.5
176,62,185,4.5
177,63,50,4.5
178,63,69,4.0
179,63,111,4.5
180,63,165,4.5
181,64,110,4.0
182,65,1,4.0
183,65,6,5.0
184,65,32,5.0
185,65,34,4.0
186,65,39,4.0
187,65,47,4.0
188,65,50,5.0
189,65,110,5.0
190,65,111,5.0
191,65,194,4.0
192,65,198,4.0
193,67,1,5.0
194,67,50,4.0
195,67,165,4.0
196,68,1,4.5
197,68,32,4.5
198,68,34,5.0
199,68,50,4.0
200,68,89,4.0
201,68,150,4.0
202,68,151,4.5
203,69,50,5.0
204,70,147,4.5
205,71,32,4.0
206,72,58,5.0
207,72,111,4.0
208,73,50,5.0
209,73,111,5.0
210,74,1,5.0
211,74,2,4.0
212,74,151,4.0
213,74,158,4.0
214,74,186,4.0
215,75,1,4.0
216,75,50,4.0
217,76,150,4.0
218,77,24,4.0
219,77,43,4.0
220,80,1,5.0
221,80,10,5.0
222,80,32,4.0
223,80,47,4.0
224,80,50,5.0
225,80,110,5.0
226,80,161,4.0
227,80,165,4.0
228,80,185,4.0
229,82,32,4.5
230,82,110,4.0
231,83,17,5.0
232,83,32,5.0
233,84,104,4.5
234,87,6,4.0
235,87,104,4.0
236,87,112,4.0
237,87,141,5.0
238,88,110,4.0
239,88,150,4.0
240,89,24,4.0
241,89,32,4.0
242,89,47,4.0
243,89,110,5.0
244,91,2,4.0
245,91,6,5.0
246,91,16,5.0
247,91,17,4.0
248,91,29,4.0
249,91,38,5.0
250,91,50,5.0
251,91,79,5.0
252,91,89,4.0
253,91,141,5.0
254,91,145,4.0
255,91,150,4.0
256,91,168,5.0
257,91,185,4.0
258,93,34,4.0
259,93,112,4.0
260,93,150,4.0
261,93,194,4.0
262,94,1,4.0
263,94,6,4.0
264,94,21,4.0
265,94,47,5.0
266,94,50,5.0
267,95,17,5.0
268,98,1,4.0
269,98,47,4.5
270,98,50,4.0
271,99,32,4.0
272,101,1,4.0
273,101,5,4.0
274,101,6,5.0
275,101,95,4.0
276,103,10,4.0
277,103,32,4.0
278,103,34,4.0
279,103,39,4.0
280,103,47,5.0
281,103,50,4.0
282,103,110,5.0
283,103,161,4.0
284,103,165,4.0
285,105,1,5.0
286,105,32,4.0
287,105,47,5.0
288,105,50,5.0
289,105,150,5.0
290,106,47,4.0
291,107,34,4.0
292,107,39,4.0
293,107,45,5.0
294,107,52,5.0
295,107,72,4.0
296,107,125,5.0
297,111,32,4.5
298,111,47,5.0
299,111,50,4.0
300,111,110,4.5
301,112,25,4.0
302,112,29,5.0
303,112,41,4.0
304,112,50,4.0
305,113,1,5.0
306,114,10,4.0
307,114,21,4.0
308,114,150,5.0
309,114,173,4.0
310,115,10,5.0
311,115,29,4.0
312,115,32,5.0
313,115,47,5.0
314,115,50,5.0
315,115,110,5.0
316,115,163,4.0
317,117,29,5.0
318,118,62,5.0
319,119,1,5.0
320,119,25,4.0
321,119,36,5.0
322,119,58,4.0
323,119,111,5.0
324,119,150,4.0
325,119,161,4.0
326,119,162,5.0
327,119,176,4.0
328,119,185,4.0
329,120,25,4.5
330,120,29,4.5
331,120,32,5.0
332,120,34,4.0
333,120,36,4.5
334,120,50,4.5
335,120,52,4.5
336,120,101,4.5
337,120,111,4.0
338,123,21,5.0
339,123,39,4.0
340,123,45,5.0
341,123,47,4.0
342,123,50,4.0
343,123,163,5.0
344,123,188,4.0
345,123,196,4.0
346,125,29,4.5
347,125,32,5.0
348,125,101,4.5
349,125,111,4.0
350,125,162,5.0
351,125,175,4.0
352,126,2,5.0
353,126,95,5.0
354,126,150,5.0
355,126,161,5.0
356,126,165,5.0
357,126,173,4.0
358,126,185,4.0
359,127,6,5.0
360,127,32,4.0
361,127,34,5.0
362,127,40,4.0
363,127,50,5.0
364,127,110,4.0
365,127,116,4.0
366,127,117,4.0
367,127,150,4.0
368,127,198,4.0
369,128,110,5.0
370,129,1,5.0
371,129,36,5.0
372,129,50,5.0
373,129,111,4.0
374,129,188,5.0
375,131,1,4.0
376,131,18,4.0
377,131,32,5.0
378,131,36,4.0
379,131,47,4.0
380,131,50,5.0
381,131,94,4.0
382,131,110,4.0
383,131,111,5.0
384,131,144,4.0
385,132,25,4.0
386,132,29,4.0
387,132,47,4.0
388,132,50,5.0
389,132,69,4.0
390,132,101,5.0
391,132,104,4.0
392,132,111,4.0
393,132,118,4.0
394,132,123,5.0
395,132,175,4.0
396,132,180,4.0
397,133,6,4.5
398,133,16,4.0
399,133,25,4.0
400,133,32,4.5
401,133,47,4.5
402,134,17,5.0
403,137,175,4.0
404,142,50,4.0
405,142,110,5.0
406,142,111,4.0
407,142,147,4.0
408,146,50,4.5
409,146,110,4.5
410,150,1,4.0
411,150,16,5.0
412,150,34,4.0
413,150,36,4.0
414,150,39,4.0
415,150,45,4.0
416,150,47,4.0
417,150,50,5.0
418,150,69,4.0
419,150,86,4.0
420,150,104,4.0
421,150,110,4.0
422,150,111,4.0
423,150,125,5.0
424,150,145,4.0
425,150,159,4.0
426,150,175,5.0
427,151,21,4.0
428,151,36,4.0
429,151,58,4.0
430,151,110,4.0
431,153,1,4.0
432,153,6,4.5
433,153,22,4.0
434,153,70,4.0
435,153,110,4.5
436,153,150,4.0
437,153,175,4.5
438,153,198,4.0
439,155,32,4.5
440,155,107,5.0
441,156,17,4.0
442,156,25,5.0
443,156,36,5.0
444,156,58,5.0
445,156,80,4.0
446,157,111,4.0
